X,Y,OBJECTID,NoticeNum,DateNotice,NT,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address,Year
1417954.565,589923.22,749051,2097287A,2022/04/14 12:24:00+00,Vacant,B,11,RIDGELY'S DELIGHT,0674 031,733 W PRATT ST,2022
1418818.25,589601.5254,749197,1890065A,2020/04/09 15:28:00+00,Vacant,B,11,RIDGELY'S DELIGHT,0685A044,606 WASHINGTON BLVD,2020
1410668.717,588158.0867,749365,1808479A,2019/06/27 14:09:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 006,510 S BENTALOU ST,2019
1410677.946,588136.0494,749367,1917107A,2020/07/21 10:40:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 008,514 S BENTALOU ST,2020
1410682.745,588125.0507,749368,1910613A,2020/07/02 09:04:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 009,516 S BENTALOU ST,2020
1410697.133,588092.0501,749371,1735386A,2018/10/18 16:35:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 012,522 S BENTALOU ST,2018
1410701.933,588081.0564,749372,1917108A,2020/07/21 10:57:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 013,524 S BENTALOU ST,2020
1410752.739,587965.2111,749382,2057365A,2021/11/05 16:21:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 023,550 S BENTALOU ST,2021
1410543.12,587814.3423,749392,1990243A,2021/06/01 11:36:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 047,2344 WILKENS AVE,2021
1410464.486,587779.7939,749398,2065735A,2021/12/08 14:52:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 054,2356 WILKENS AVE,2021
1410440.185,587769.245,749400,1628036A,2018/01/12 13:14:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 056,2360 WILKENS AVE,2018
1410399.124,587858.9243,749407,1849658A,2019/10/06 08:19:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 087,529 S CATHERINE ST,2019
